salary,about,description,title,skills,company,responsibilities,contact,location,education
,WPCG,,,,,,,,
, is searching for a ,,,,,,,,
,,,,Identifies training requirements for new technologies and coordinates timely training for appropriate groups. Provides on-site training / supervision / technical support to technicians as required.,,,,,
,,,,"Conducts equipment evaluation, testing and selection.",,,,,
,,,,"Transforms a conceptual plan into a concrete set of solutions, documentation and specifications.",,,,,
,,,,Provides Tier ,,,,,
,,,,II and ,,,,,
,,,,III support for network elements and infrastructure when required.,,,,,
,,,,"Diploma in Electronics or Electrical Technology / Engineering and a thorough knowledge (typically gained through at least five years of experience) of the subject matter in two or more of the following areas, encompassing both core and customer equipment designs and implementations (as applicable):",,,,,
,,,,a) Access elements (,,,,,
,,,,xDSL,,,,,
,,,,", Subscriber Radio)",,,,,
,,,,b,,,,,
,,,,") IP core / access / customer WAN networks, equipment (Cisco, Juniper, Alcatel) and security",,,,,
,,,,c,,,,,
,,,,) VoIP switch / telephony / gateway technologies & equipment,,,,,
,,,,d,,,,,
,,,,) Transport technologies and equipment- ,,,,,
,,,,Sonet,,,,,
,,,, and Asynchronous multiplexers (,,,,,
,,,,Gain familiarity with the entire work processes of field data collection,,,,,
,,,,"Provide assistance to the Planner, Scheduler, Dispatcher or Operational Support Technical Analyst as required",,,,,
,,,,Support applications such as NorthStar including analyzing data and troubleshooting application issues,,,,,
,,,,Associate Degree in Computer Information Technology or equivalent education,,,,,
,,,,Minimum of two years’ experience providing customer service-related support within a technical environment,,,,,
,,,,Strong  working knowledge of Windows based operating system and Office application,,,,,
,,,,General knowledge of mobile handheld devices or Enterprise digital assistants running Windows Mobile 6 or higher,,,,,
,,,,General knowledge of mobile handheld device software such as SOTI,,,,,
,,,,Experience with Motorola Enterprise Digital Assistant MC75 and MC9500 is an asset,,,,,
,,,,"Knowledge of best practices in security management (i.e. encryption practices, access control)",,,,,
,,,,Previous experience in documenting process workflow,,,,,
,,,,Previous experience in documenting and recording solutions using a ticket management system,,,,,
,,,,Demonstrated ability to provide excellent customer service to a wide range of users,,,,,
,,,"<title>
    Business Analyst, Senior Job in Capitol Region &amp; Island, British Columbia Canada
  </title>",,,,,,
, ,,,,,,,,
,Requirements and Duties:,,,,,,,,
, ,,,,,,,,
,Toolset and technical environment:,,,,,,,,
, ,,,,,,,,
,Experience and Qualifications:,,,,,,,,
, ,,,,,,,,
,"If you meet the required criteria and are interested in the above position, please submit a Word version of your resume ",,,,,,,,
,HERE,,,,,,,,
,!,,,,,,,,
, ,,,,,,,,
,"**Due to the volume of resumes, only those candidates being considered will be contacted.",,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
,We get it.,,,,,,,,
, ,,,,,,,,
,"We get technology. We get people. We get you don’t want cyborgs taking over the office and running the show. When there‘s a problem, everyone wants the right person for the job. The kind of person who is brilliant, efficient, technically savvy and who can communicate with everyone else. We know these kinds of people.",,,,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Provides   technical support to system users,,,,,
,Business Intelligence Developer Analyst,,,,,,,,
, for one of our Vancouver based clients. ,,,,,,,,
,        ,,,,,,,,
,        ,,,,,,,,
,Job Description,,,,,,,,
,:,,,,,,,,
,"The BI Developer Analyst will gather requirements, develop and implement reports, dashboards, alerts and other deliverables required to improve the performance of the business technologies related to: Cognos, SSRS, SSAS, SSIS, Crystal and application specific reporting.",,,,,,,,
,                                   ,,,,,,,,
,                                   ,,,,,,,,
,Requirements,,,,,,,,
,:,,,,,,,,
,,,,  ,,,,,
,,,,Ocx,,,,,
,,,, & ,,,,,
,,,,DSx,,,,,
,,,,"), digital channel banks and cross connects, DACS, ATM, network timing and synchronization",,,,,
,,,,e,,,,,
,,,,) Inside and outside plant cable/ fiber optic facilities and structures.,,,,,
,,,,f,,,,,
,,,,) Project management (PMP) and contract administration,,,,,
,,,,Working knowledge of personal computers and various software applications.,,,,,
,,,,"Ability to plan, organize and coordinate in a self-directed environment.",,,,,
,,,,Excellent problem solving and troubleshooting skills,,,,,
,,,,Ability to work well in a fast paced and changing environment,,,,,
,,,,Strong communication skills and ability to convey information effectively,,,,,
,,,,Proven problem solving and analytical skills with an attention to detail,,,,,
,,,,Ability and willingness to work outside regular office hours to support business needs,,,,,
,,,,This role requires carrying an after hours pager on a rotating basis to provide on-demand support,,,,,
,,,,This role requires the ability to travel occasionally to Canadian or US project sites.,,,,,
,,,"<title>
    PeopleSoft Finance Functional Analyst (all regions, Canada) Job in Vancouver , British Columbia Canada
  </title>",,,,,,
,,,,  ,,,,,
,,,"<title>
    PeopleSoft HRMS Functional Analyst (all regions, Canada) Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,,  ,,,,,
, ,,,,,,,,
,"Ignite Technical Resources is a Vancouver-based Information Technology resourcing firm built around three principles: speed, efficiency and quality. We provide highly trained and qualified technical consultants to your organization as a flexible work force option. Our consultants will help you through workload fluctuations and can manage outsourced projects of any size.",,,,,,,,
, ,,,,,,,,
,You have greater day-to-day issues to manage. Ignite will solve your immediate IT needs with little delay or effort. It’s what we do best. ,,,,,,,,
, ,,,,,,,,
,We’re wired for people.,,,,,,,,
, ,,,,,,,,
,Follow Ignite on,,,,,,,,
, Twitter ,,,,,,,,
,@ignitetechnical,,,,,,,,
, and become a fan on ,,,,,,,,
,Facebook,,,,,,,,
," for up-to-date information about our company including job postings! To see other IT job postings, visit our ",,,,,,,,
,Website,,,,,,,,
,!,,,,,,,,
,On behalf of our high profile client here in ,,,,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Provides   mentoring and technical coaching to programmers,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,At   least 4 years’ experience as a SQL Developer and experience with SQL Server   2008 (SSRS and SSIS).,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Strong   Experience developing with T-SQL, including stored procedures, tables, charts   and indexes. ",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Strong   experience with SSRS, SSIS and ETL, as well as MDX. ",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Data   warehousing / cube / data modeling experience will be a great asset as well.   ,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Excellent   communication, interpersonal and presentation skills.",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Results-oriented   individual, who can work on various items within tight deadlines. ",,,,,
,,,,  ,,,,,
,,,,"Good decision-making, analytical and problem solving abilities.",,,,,
,,,,Good interpersonal skills and verbal and written communications skills.,,,,,
,,,,A valid driver license.,,,,,
,,,,Hands on experience   implementing/upgrading PeopleSoft Financials modules in at least 2 or more of   the following functional areas:,,,,,
,,,,  ,,,,,
,,,,    ,,,,,
,,,,General     Ledger,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Commitment,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Control,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Accounts     Payable,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,"Hands on experience implementing PeopleSoft   HRMS/HCM modules in the following functional areas: Core HR, Benefits - Base   and/or Benefits Admin, Payroll – North American/Global and Payroll Interface,   Time & Labor, Recruiting/Staffing, Talent Acquisition Management,   Candidate Gateway, Learning Management/ELM, Training, Position Management,   Performance Management, Absence Management, ESS and MSS, Succession Planning,   Health & Safety.",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Experience with foundation table setup.,,,,,
,,,,  ,,,,,
,,,"<title>
    PeopleSoft HRMS Functional Analyst – NA Payroll/Time &amp; Labor (all regions, Canada) Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,,  ,,,,,
,"Vancouver,",,,,,,,,
,Ignite Technical Resources,,,,,,,,
, is looking for a ,,,,,,,,
,Quality Assurance Analyst ,,,,,,,,
,with our client,,,,,,,,
,for a ,,,,,,,,
,permanent,,,,,,,,
, opportunity.,,,,,,,,
, ,,,,,,,,
,Project Description:,,,,,,,,
,"The Quality Assurance Analyst provides specialist advice and analysis to ensure that all information systems programs and projects meet end-user requirements and organizational standards for usability, operability and performance.",,,,,,,,
,"You will be responsible for creating project quality performance test plans, selecting tools, setting up environments, designing performance testing framework, scripting, executing performance tests, and analyzing results, implementing quality initiatives, test execution and tool selection. The focus will primarily be on systems programs and projects to meet end-user performance requirements and organizational standards for usability, operability and performance.   Majority of work will be performed in a formal project or program team. Projects and programs typically have a high degree of complexity, influence, and impact as solutions are generally designed for the majority of constituents in our client’s community. ",,,,,,,,
,"Outside of project/program assignments, the Quality Assurance Analyst with other Quality Assurance Analysts will work on best practices improvements for the purpose of achieving a high level of quality in all project deliverables, ensuring that software quality exceeds industry norms for accuracy, reliability and scalability. This includes providing support and advice to other analysts and developers on quality assurance activities both within the department and to our client’s greater IT community. ",,,,,,,,
,,,,"Integrates,   writes, modifies, maintains amd tests code",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Coordinates   deployments across multiple IT groups,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Prepares   and reviews technical documentation including technical support guides, user   manuals, and help desk documentatio",,,,,
,,,,  ,,,,,
,,,,Degree   or Diploma in Computer Science or related   discipline,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,5-8   years’ experience in software development ,,,,,
,,,,  ,,,,,
,,,,Financial   sector experience would be considered an asset.,,,,,
,,,,In and out-of-province travel,,,,,
,,,,Deals with multiple priorities and constantly works to deadlines,,,,,
,,,,Works both independently and as a team player,,,,,
,,,,Accounts     Receivable,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,"Purchasing,     Inventory",,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Contracts,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Billing,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Asset     Management,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Cash     Management,,,,,
,,,,    ,,,,,
,,,,  ,,,,,
,,,,Knowledge of integrations between the functional   areas.,,,,,
,,,,  ,,,,,
,,,,Hands on experience   implementing PeopleSoft HCM NA Payroll and Time & Labor.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Experience with definition and set up of complex rules for Time   & Labor.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Expert level expertise in Payroll and Time & Labor   modules.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Knowledge of integrations between the functional areas.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Practiced at requirements gathering techniques, facilitating   meetings, technical documentation, testing methodologies and able to   articulate complex ideas clearly.",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,"<title>
    PeopleSoft Financial Technical Developer / Analyst (all regions, Canada) Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,,  ,,,,,
, ,,,,,,,,
,Requirements and Duties:,,,,,,,,
, ,,,,,,,,
,Toolset and technical environment:,,,,,,,,
, ,,,,,,,,
,Experience and Qualifications:,,,,,,,,
, ,,,,,,,,
,"If you meet the required criteria and are interested in the above position, please submit a Word version of your resume ",,,,,,,,
,HERE,,,,,,,,
,!,,,,,,,,
, ,,,,,,,,
,"**Due to the volume of resumes, only those candidates being considered will be contacted.",,,,,,,,
, ,,,,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Proven   ability to work in a team-based environment with minimum   supervision,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Extensive   experience developing software in one or more of the following:,,,,,
,,,,  ,,,,,
,,,,"IntelliJ, Java, JSP & JSF,   Eclipse, Tomcat, Web technologies, Apache, Spring",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Strong   working knowledge of design and implementation, data modeling, relational   databases, using either SQL Server technologies or Oracle   ",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Extensive   experience developing n-tier applications using application server   environments such as jBoss,,,,,
,,,,"Must deal with Industry contacts with tact, diplomacy and courtesy",,,,,
,,,,Overtime required on an as needed basis,,,,,
,,,,Light to medium effort.,,,,,
,,,,Occasional heavy effort.,,,,,
,,,,Works inside/outside.,,,,,
,,,,"Hazards (noise, vibration, electrical, mechanical, construction sites, infectious diseases).",,,,,
,,,,    ,,,,,
,,,,Expenses,,,,,
,,,,  ,,,,,
,,,,"Practiced at requirements gathering techniques,   facilitating meetings, technical documentation, testing methodologies and able   to articulate complex ideas clearly.",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Strong working relationships with end-user   community and team members,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"In-depth knowledge of human resource and payroll   processes,",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Excellent analytical, interpersonal and   communication skills,",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Self starter and able to work   independently.,,,,,
,,,,Strong working relationships with end-user community and team   members.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,In-depth knowledge of human resource and payroll   processes.,,,,,
,,,,"Analysis, design and coding of enhancement and development   requests.",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Development of conversion and interface programs.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Debugging and troubleshooting of issues.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Unit Testing.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Customer support.,,,,,
,,,,  ,,,,,
,,,,"BS Degree in Computer Science, Engineering or related   field.",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Technical development experience with PeopleSoft Financials version   up to 9.1 & PeopleTools up to 8.51 toolset in the following PeopleSoft   modules:,,,,,
,,,"<title>
    GIS Programmer Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,On behalf of our client located in ,,,,,,,,
, ,,,,,,,,
,We get it.,,,,,,,,
, ,,,,,,,,
,"We get technology. We get people. We get you don’t want cyborgs taking over the office and running the show. When there‘s a problem, everyone wants the right person for the job. The kind of person who is brilliant, efficient, technically savvy and who can communicate with everyone else. We know these kinds of people.",,,,,,,,
, ,,,,,,,,
,"Ignite Technical Resources is a Vancouver-based Information Technology resourcing firm built around three principles: speed, efficiency and quality. We provide highly trained and qualified technical consultants to your organization as a flexible work force option. Our consultants will help you through workload fluctuations and can manage outsourced projects of any size.",,,,,,,,
, ,,,,,,,,
,You have greater day-to-day issues to manage. Ignite will solve your immediate IT needs with little delay or effort. It’s what we do best. ,,,,,,,,
, ,,,,,,,,
,We’re wired for people.,,,,,,,,
, ,,,,,,,,
,Follow Ignite on,,,,,,,,
, Twitter ,,,,,,,,
,@ignitetechnical,,,,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Project     Costing,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Grants,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Planning &     Budgeting,,,,,
,,,,  ,,,,,
,,,,Experience with   foundation table setup.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Knowledge of integrations   between the functional areas.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,3-5 years’ experience implementing large   PeopleSoft projects,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Excellent analytical, interpersonal and communication   skills.",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Self starter and able to work independently.,,,,,
,,,,  ,,,,,
,,,,3-5 years’ experience implementing PeopleSoft Payroll and Time   & Labor projects.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,PeopleSoft upgrade experience.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Ability to travel.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Strong HR, Payroll and Benefits knowledge.",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,    ,,,,,
,,,,GL,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,AP,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,PO ,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,AM,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Commitment Control,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Budget,,,,,
,,,,    ,,,,,
,"Vancouver, Ignite Technical Resources",,,,,,,,
, is looking for a ,,,,,,,,
,,,"<title>
    Systems Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,"<title>
    Business Systems Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
, and become a fan on ,,,,,,,,
,Facebook,,,,,,,,
," for up-to-date information about our company including job postings! To see other IT job postings, visit our ",,,,,,,,
,Website,,,,,,,,
,!,,,,,,,,
,,,,Write and execute performance testing strategy      for large-scale custom and COTS software implementations.,,,,,
,,,,Install and maintain test bench consisting of      the testing suite and monitoring tools hooked to a large ecosystem of      inter-related servers,,,,,
,,,,"Gather requirements, write automated test      scenarios for web-based applications, real-time machine interfaces and      batch mechanisms.",,,,,
,,,,"Practiced at requirements   gathering techniques, facilitating meetings, technical documentation, testing   methodologies and able to articulate complex ideas clearly.",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Ability to travel,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Experience with PeopleSoft HCM v9.x.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Exposure to PeopleSoft v. 9.1 a plus,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Project Management or team leadership experience   a plus. ,,,,,
,,,,  ,,,,,
,,,,"Legally able to work in Canada. Must already   possess US or Canadian citizenship, Canadian Permanent Resident status or an   open Canadaian work permit.",,,,,
,,,,  ,,,,,
,,,,Experience with   PeopleSoft HCM v9.x.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Exposure to PeopleSoft v. 9.1 a plus.,,,,,
,,,,  ,,,,,
,,,,    ,,,,,
,,,,PeopleSoft Upgrades and Implementations,,,,,
,,,,  ,,,,,
,,,,Knowledge and experience in the following areas is a   plus:,,,,,
,,,,  ,,,,,
,,,,    ,,,,,
,,,,Inventory ,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Project Costing and Billing,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Accounts Receivable,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Cash Management,,,,,
,,,,  ,,,,,
,,,,Must be proficient in the following technologies:,,,,,
,,,,  ,,,,,
,,,,    ,,,,,
,,,,PeopleTools,,,,,
,GIS Programmer Analyst,,,,,,,,
, to join our client’s team on a ,,,,,,,,
,9 month term employment,,,,,,,,
, opportunity. ,,,,,,,,
, ,,,,,,,,
,The Role:,,,,,,,,
," The successful candidate will support the client’s existing web applications,  Google based single purpose maps, and FME server publishing process for Open Data.  System administration and sustainment duties also include application performance monitoring, testing and trouble shooting.   ",,,,,,,,
, ,,,,,,,,
,"The programmer / analyst will also be responsible for delivering on demand service requests to improve the existing GIS applications. Duties include: gathering and analysis of user/business requirements, proposing solutions to meet identified requirements, and developing and testing complex systems and system integrations.  ",,,,,,,,
, ,,,,,,,,
,"The programmer / analyst may participate in larger projects such as Autodesk Infrastructure Map Server (AIMS) upgrade, FME upgrade, ArcGIS Hazus, etc.",,,,,,,,
, ,,,,,,,,
,Qualifications:  ,,,,,,,,
, ,,,,,,,,
,N.B.: An Enhanced Reliability Check security clearance is a requirement of this position.,,,,,,,,
,,,,"Write detailed test plans, execute test runs,      analyze results, provide reports, and GoNoGo recommendations.",,,,,
,,,,Strong working   relationships with end-user community and team members.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,In-depth knowledge of   financial processes.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Excellent analytical,   interpersonal and communication skills.",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Self starter and able to   work independently.,,,,,
,,,,  ,,,,,
,,,,3-5 years experience   implementing PeopleSoft Financial projects.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,PeopleSoft upgrade   experience.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Exposure to Absence Management/Global Payroll a plus.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Project Management or team leadership experience a   plus.,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Application Designer,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Application Messaging,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Integration Broker,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Component Interfaces,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Application Engine,,,,,
, ,,,,,,,,
,"If you meet the required criteria and are interested in the above position, please submit a Word version of your resume ",,,,,,,,
,HERE,,,,,,,,
,!,,,,,,,,
, ,,,,,,,,
,"**Due to the volume of resumes, only those candidates being considered will be contacted.",,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
,We get it.,,,,,,,,
, ,,,,,,,,
,"We get technology. We get people. We get you don’t want cyborgs taking over the office and running the show. When there‘s a problem, everyone wants the right person for the job. The kind of person who is brilliant, efficient, technically savvy and who can communicate with everyone else. We know these kinds of people.",,,,,,,,
, ,,,,,,,,
,"Ignite Technical Resources is a Vancouver-based Information Technology resourcing firm built around three principles: speed, efficiency and quality. We provide highly trained and qualified technical consultants to your organization as a flexible work force option. Our consultants will help you through workload fluctuations and can manage outsourced projects of any size.",,,,,,,,
, ,,,,,,,,
,You have greater day-to-day issues to manage. Ignite will solve your immediate IT needs with little delay or effort. It’s what we do best. ,,,,,,,,
, ,,,,,,,,
,We’re wired for people.,,,,,,,,
,,,"<title>
    Information Systems Security Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,,"Provides management with information and      assistance in the planning, development and implementation of information      security solutions and projects",,,,,
,,,,Has prior experience of testing      high-visibility applications from the perspective of user experience and      mission-critical services.,,,,,
,,,,"Write automated scripts, build and maintain a      library of reusable tests, results benchmarks and baseline configurations.",,,,,
,,,,Operate regular cycles of testing against the      prod release schedule in parallel to the testing of freshly-developed      customizations (Test-Driven Development),,,,,
,,,,System administrator’s knowledge (at the OS      tuning level) for Windows/Linux platforms. ,,,,,
,,,,"Experience of using, managing and optimizing      cloud appliances (in VMWare) ",,,,,
,,,,"Webload (Radview) an asset, or top-tier      integrated performance testing suite.",,,,,
,,,,"Apache tomcat, RedHat servers, Oracle DB ",,,,,
,,,,JIRA as issue management system,,,,,
,,,,VMWare machines and hypervisor.,,,,,
,,,,Knowledge of Uniface technology a definite      asset.,,,,,
,,,,Undergraduate degree      in a relevant discipline,,,,,
,,,,Formal certification      from a recognized professional organization or professional development      provider is an asset,,,,,
,,,,Strong accounting   knowledge.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Ability to   travel.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Experience with   PeopleSoft Financials v9.x.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Exposure to PeopleSoft   v.9.1 a plus.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Project Management or   team leadership experience a plus.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,PeopleCode,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Cobol,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
, ,,,,,,,,
,Follow Ignite on,,,,,,,,
, Twitter ,,,,,,,,
,@ignitetechnical,,,,,,,,
, and become a fan on ,,,,,,,,
,Facebook,,,,,,,,
," for up-to-date information about our company including job postings! To see other IT job postings, visit our ",,,,,,,,
,Website,,,,,,,,
,!,,,,,,,,
,On behalf of our client located in ,,,,,,,,
,"Vancouver, Ignite Technical Resources",,,,,,,,
,,,,Assists in recommending and implementing      information security policies or procedural changes to immediately resolve      computer security problems and provides training and documentations to      employees to enhance security awareness.,,,,,
,,,,"Directs and provides support activities of      complex security systems and tools, i.e., user access controls, firewalls,      intrusion detection, penetration testing and anti-virus software.",,,,,
,,,,Adheres strictly to compliance and operational      risk controls in accordance with the company’s policies and regulatory      standards and practices.,,,,,
,,,,Works collaboratively with internal      information system development and operations team to ensure new      applications and information systems solutions adhere to security policies      and standards and recommends changes as needed.,,,,,
,,,"<title>
    Business Analyst - Change Management Experience Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,,Analyze and model the SHS Clinic domain to      create a complete picture of work-flows and technical requirements      fulfilled by existing and proposed software.,,,,,
,,,,"A minimum of 5 years      of experience, in-depth knowledge of applications and the business      requirements supporting them or the equivalent combination of education      and experience.",,,,,
,,,,"Minimum 5 years of      experience in quality assurance, performance testing and software/application      development. ",,,,,
,,,,Experience with      scalability and testing enterprise applications. ,,,,,
,,,,"Experience in various      types of performance testing: load testing, benchmarking, and stress      testing.",,,,,
,,,,Experience in in-depth      analysis of performance results and identifying bottlenecks.,,,,,
,,,,Experience with      creating performance test plan and framework.,,,,,
,,,,Experience with      setting up virtual performance test environments.,,,,,
,,,,"Experience with the      traceability, requirements and issue tracking systems. ",,,,,
,,,,Experience with open      source performance testing tools and selection process is an asset. ,,,,,
,,,,"Must have demonstrated      combination of knowledge and experience in the IT project lifecycle      including project management, business analysis, development, quality      assurance, change management and related disciplines. ",,,,,
,,,,"Experience and a      working knowledge of SDLC methodologies, preferably Agile methodologies      (e.g. Lean, XP or Scrum)",,,,,
,,,,"Experience with   eProcurement, eSettlement, eSupplier would be a plus.",,,,,
,,,,SQL,,,,,
,,,,  ,,,,,
,,,,Knowledge with following reporting technologies:,,,,,
,,,,  ,,,,,
,,,,    ,,,,,
,,,,SQR,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,PS Query,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,XML Publisher,,,,,
,,,,    ,,,,,
,,,,    ,,,,,
,,,,Crystal Reports,,,,,
,,,,  ,,,,,
, is looking for a ,,,,,,,,
,GIS Programmer Analyst,,,,,,,,
, to join our client’s team on a ,,,,,,,,
,9 month term employment,,,,,,,,
,,,,"Installs, maintains, and customizes      information systems security monitoring software and performs security      reviews, risk assessments of new technologies or products.",,,,,
,,,,"Monitors systems usages, analyzes and traces      sources of attempted illegal usage, and reports and documents any      attempted security violations to management",,,,,
,,,,Liaises with the internal and external      auditors as well as carries out periodic audits of technical and      managerial information systems security,,,,,
,,,,Represents information security in corporate      business continuity and disaster recovery effort,,,,,
,,,,Provides after hour and weekend support if required      and completes other related duties as assigned.,,,,,
,,,,A Bachelor’s Degree or equivalent experiences      with a major or minor in Computer Science or related field is required.,,,,,
,,,,"A minimum of six years progressive data      processing experience with at least five years’ experience working with      diverse security products/technologies such as firewalls, anti-virus,      vulnerability scanners etc...",,,,,
,,,,"Strong English verbal and written      communication, interpersonal, and leadership skills as well as being able      to think analytically.",,,,,
,,,,"Accreditation(s) such as CISSP, CISA, or CISM",,,,,
,,,,"Above average knowledge of centralized and      distributed systems, networking principles and protocols, virtualization      solutions, storage area networks, mobile device management policies etc.",,,,,
,,,,Fundamental knowledge and experience with      Payment Card Industry (PCI) Data Security Standards and compliance.,,,,,
,,,,Identify and validate the key requirements.,,,,,
,,,,Lead cross-functional Clinic process teams and      continuous improvement efforts.,,,,,
,,,,Evaluate potential EMR (Electronic Medical      Records),,,,,
,,,,"software solutions, and the system      architecture, security to ensure that they meet business requirements.",,,,,
,,,,Create functional requirements in use cases.,,,,,
,,,,"Coordinate requirements walk-through and      sign-offs, verifying with user representatives/stakeholders that use cases      and process models accurately portray specific EMR Clinic needs.",,,,,
,,,,Support communication and adoption activities      related to the change.,,,,,
